,Comments,Emotion_predicted
0,"cm garu put some scheme for those who have two female children, it will help those parents a little",Positive
1,polavaram district should do,Negative
2,chandrababu used the polavaram project like an atm and gave tenders to construction companies in the black list and was robbed.,Positive
3,chandrababu skills development scam jd laxminarayan roll lokesh optical fiber grid scam esi scam purchase of telephone tampering tools case ed probe ongoing,Positive
4,chandrababu looted around 800 crores to a temporary building in amaravati,Negative
5,chandrababu did amaravati real estate business and bought land with them,Negative
6,"chandrababu looted the state and took care of his own development, reddy thought that the social class should be with factionism.",Positive
7,"ntr is a victim of chandrababu's conspiracy, ramoji rao radhakrishna cooperates with brn",Positive
8,jaitdp cbn cm ap 2024 lo 100,Negative
9,epudu meru chesena manchi panulka andhara lo prajalu chala badha padathunaru swamy meru inka manchi panulu chesta anta inka andhra lo prajalu inka evaru undaru swamy pakka states ki velpotharu swamy meru chesena manchi panulu ekkdtho appayandi chalu swamy,Positive
10,jagan waved his left hand and waved his promises,Negative
11,falling down is a game,Negative
12,cancer gadda is not comedy peache ra tu,Negative
13,420 cm,Positive
14,opps! it's a hmtv,Negative
15,"you can't talk without seeing and reading, you old dog",Negative
16,can flakes iron piece tell jagan jail if you kill a child there is no punishment kadara polavaram where are the three capitals where is the child your sister your mother where is the child if the child believes in you,Positive
17,busu thusu ycp drama school jail jagan 16 months,Positive
18,jai jagan,Negative
19,next your child will ask why two kidneys are enough for you,Negative
20,"how do you think they will vote for you this time, it is unlikely",Negative
21,12flass vizag falesu 500 crores if you don't have the post of cm then valili to bokkalo,Positive
22,"new concare gadyu, not bidyu",Negative
23,"did jaggareddy come from ma modda? if you talk, you will be called your child? aren't you born to raja shekhara reddy?",Positive
24,for the road,Positive
25,constituency development,Negative
26,"nayana, who are your children, we do not want your glory, you are not children, you are clay",Negative
27,jai jagan jai jagan jagan jai,Negative
28,what not,Netural
29,your baby will feed you well app people's marked next bechome aa bihar,Positive
30,sanction 4 months before wah will still do janali,Negative
31,"420 seam ra, you are watery",Negative
32,kojja jagan,Negative
33,"are you a child, are you overborn?",Negative
34,jalgaon makoddhu,Negative
35,they say so many negative comments that we still don't want jagan,Negative
36,sir super,Negative
37,do you have a fish market?,Negative
38,"you are a big yard thief, who is better than you, my son",Negative
39,next you will be in tihar jail you killed father and grandfather you are a man have no shame,Positive
