,Comments,Emotion_predicted
0,what editing bro,Positive
1,"on 26/10 in kavali, the driver of the rtc bus going to bengaluru was beaten indiscriminately by the ycp rowdies for not giving his side.",Positive
2,last key kashi yatra,Positive
3,bus yatra is not like this yatra.,Positive
4,351 lux kottlu malli kodali bokka le ki enkenni kavalira tuss tdp,Positive
5,bhubaneswari bocca jabberdsat bocca,Positive
6,"if we vote for the fan symbol, this time we also have to cheer for the same fan",Positive
7,tell me the good things done by your government,Positive
8,hello ap bye bye ycp people say,Positive
9,my name is kokevurukondaya chenchugariripalli ontimitta mandal kadapa dist i am ycp karkarta fan from rajasekhar reddy you are jagan fan,Positive
10,jai jagan anna god bless you forever and ever all is well jagan anna,Positive
11,"there is no cursing if you go to gadapa gadapa, what are people saying?",Positive
12,what will the thief nayas do?,Positive
13,hail hallelujah hail christ,Positive
14,mee sakshi tiviki jagan dam patindhi jai hale luya,Positive
15,jagan said that a thief would come and people would kill crores,Neutral
16,"on the other hand, tdp will win, anchor aunt jagan will lose and ysp will be empty",Positive
17,you will come again,Positive
18,jai jagan anna,Positive
19,super,Positive
20,shalini said that all the people work together for jagan and the elders are the same,Positive
21,super,Positive
22,jai jagan anna johar y s r,Positive
23,"put babu inside and you are moving well, you are super",Positive
24,"jagan, modi is accompanying us, you will be reduced",Positive
25,jagan anna please take care anna andhra pradesh roads are not that much safe fully damged and dangerous tack care anna jai jagan anna,Positive
26,pithulu kodikattividammajebudenge mukagudala sulli yatra pade samadigori,Positive
27,175-5 only 5 seats will come to vissar cp,Positive
28,ysr doll,Positive
29,metro to visakhapatnam soon,Positive
31,an angry padma yelled at me,Positive
32,laharilaharilojgamugenugajejgannana,Positive
33,jai jagan reddy,Positive
34,ask about problems in ap first,Positive
35,"babu, first look at public welfare",Positive
36,son of the thief lanja,Positive
37,are you stopping the buses going to rural areas for your bus trips?,Positive
38,dsc yada vedawalla,Positive
39,a comes with a smile,Positive
40,"jaganna, god is with you. god walks before you. god listens to the thoughts of the righteous. god gives you thoughts. god thoughts are in you. if the liar is god, then god is with those who speak truthfully.",Positive
41,"if you get pictures, will you get jobs?",Positive
42,for her ysrcp,Positive
43,donga media witness,Positive
44,god bless you anna,Positive
45,jai jagan anna,Positive
46,jai pulivendula puli jai vicercp,Positive
47,"without a capital, the whole country will hate us",Positive
48,for her ysrcp,Positive
